No.,School Name,Curriculum
1,American Community School,US
2,The Sheikh Zayed Private Academy For Boys,US
3,The Sheikh Zayed Private Academy For Girls,US
4,Abu Dhabi International Private School - Karamah,US
5,Abu Dhabi International Private School - Mbz,US
6,Al Dhafra Private Academy,US
7,Al Dhafra Private Schools,US
8,Al Dhafra Private Schools - Mbz,US
9,Al Ittihad National Private School - Khalifa,US
10,Al Ittihad National Private School - Shakhbout,US
11,Emirates Falcon International Private School,US
12,Emirates National Schools - Al Ain,US
13,Emirates National Schools - Manhal,US
14,Emirates National Schools - Mbz,US
15,Gems American Academy,US
16,International Community Schools - Mushrif,US
17,Liwa International School - Falaj Hazaa,US
18,Liwa International School For Girls,US
19,Sharjah American International School,US
20,Summit International School,US
21,Abu Dhabi Island International Private School,US
22,Adnoc Schools - Ghayathi,US
23,Adnoc Schools - Ruwais - Branch 2,US
24,Adnoc Schools - Sas Al Nakhl,US
25,Ain Al Khaleej Private,US
26,Ajyal International School - Falah,US
27,Al Adhwa Private School,US
28,Al Ain American Private School,US
29,Al Bateen Scientific Private School,US
30,Al Ittihad National Private School - Falaj Hazza,US
31,Al Nahda National - Boys,US
32,Al Nahda National - Girls,US
33,Al Sanawbar School,US
34,Al Yasat Private School,US
35,Aldar Academies-West Yas School,US
36,American National School,US
37,Baniyas International Private School,US
38,Baraaim Al Ain Private,US
39,Elite Private School,US
40,Emirates National Schools - Al Nahyan,US
41,Emirates Private School - Ad,US / UK
42,Future International Academy,US
43,Future International School,US
44,Future Leaders International Private School - Madinat Zayed,US
45,Horizon Private School - Branch,US
46,International Community Schools - Khalifa,US
47,International Jubilee Private School,US
48,Liwa International School - Mushrif,US
49,Liwa International School - Qattarah,US
50,Madar International School,US
51,Manor Hall International School,US
52,Mohammed Bin Khalid Al Nahyan Generations School,US
53,Rawafed Private School,US
54,Royal American School,US
55,The American International School,US
56,The Gulf International Private Academy,US
57,United Private School - Yahar,US
58,Virginia International Private School,US
59,Adnoc Schools - Madinat Zayed,US
60,Al Yahar Private School And Kg,US / MOE
61,California American School,US
62,Future Leaders International Private School - Baniyas,US
63,Future Leaders International Private School - Rabdan,US
64,International Academic School,US
65,International Community Schools - Falah,US
66,Pinnacle American School,US
67,United Private School - Baniyas,US
68,Alia International Private School,US
69,Arzana Private School,US
70,Knowledge International School - L.L.C,US
71,Bateen World Academy,UK
72,Cranleigh School Abu Dhabi,UK
73,Merryland International School,UK
74,Muna British Academy,UK
75,Repton Foundation School,UK
76,Yasmina British Academy,UK
77,Abu Dhabi International Pvt,UK
78,Ajyal International School - Mbz,UK
79,Al Dhafra Private Schools - Muwaiji,UK
80,Al Rabeeh School,UK
81,Gems Winchester School,UK
82,Pearl British Academy,UK
83,Abc Private School,UK
84,Al Ain Juniors Private School,UK
85,Al Maharat Private School,UK
86,Al Nahda National School For Boys,UK
87,Al Nahda National School For Girls,UK
88,Al Najah Private School,UK / IB
89,Al Shohub Private School,UK
90,Emirates Private British,UK
91,Excel International School,UK
92,Garden City British School,UK
93,Global English School,UK
94,Islamiya English School,UK
95,Our Own English High School,UK / Indian
96,Wales International School,UK
97,Zakher Private British,UK
98,Abdulla Bin Al Zubair Private School,UK
99,Al Murooj Scientific Private School,UK
100,Crescent International Private School,UK
101,Good Will Children Private School,UK
102,Manar Al Ilm School,UK
103,Rowad Al Dhafra British,UK
104,Universal Private British,UK
105,Al Manahel Private School,UK
106,British Oak Montessori Kg,UK
107,Gems Founders School Ad,UK
108,Noya British School,UK
109,Yasmina British Academy Br,UK
110,Abu Dhabi Indian School - Wathba,Indian
111,Al Saad Indian School,Indian
112,Bright Riders School,Indian
113,Mayoor Private School,Indian
114,Private International English School,Indian
