No.,School Name,Curriculum,,,
1,Adab Iranian Private School - Boys,Iranian,IB -International Baccalaureate.,,
2,Adab Iranian Private School - Girls,Iranian,,,
3,Al Ameen Private School,UK / British,,,
4,Al Arqam Private School,UK / British,,,
5,Al Basateen Kindergarten - Al Khawaneej,UAE MoE / Arabic,,,
6,Al Basateen Kindergarten - Hatta,UAE MoE / Arabic,,,
7,Al Diyafah High School,UK / British,,,
8,Al Eman Private School,UAE MoE / Arabic,,,
9,Al Ittihad Private School - Al Mamzar,American,,,
10,Al Ittihad Private School - Jumeirah,American,,,
11,Al Khaleej National School,American,,,
12,Al Maaref Private School,American,,,
13,Al Mawakeb School - Al Barsha,American,,,
14,Al Mawakeb School - Al Garhoud,American,,,
15,Al Rashid Al Saleh Private School,UAE MoE,,,
16,Al Sadiq Islamic English School,UK / British,,,
17,Al Safa Private School,UK / British,,,
18,Al Salam Private School,UK / British,,,
19,Al Shorouq Private School,UAE MoE,,,
20,Ambassador Kindergarten,Indian / CBSE,,,
21,Al Mizhar American Academy Private School for Girls,American,,,
22,American International School,American,,,
23,American School of Dubai,American,,,
24,Apple International School,UK / British,,,
25,Arab Unity School,UK / British,,,
26,Bradenton Preparatory Academy,UK / British,,,
27,Buds Public School,Indian / CBSE,,,
28,Cambridge International School,UK / British,,,
29,Collegiate American School,American,,,
30,Crescent English School,Indian / CBSE,,,
31,Dar Al Marefa Private School,IB / International,,,
32,Deira International School,UK / IB,,,
33,Deira Private School,UK / British,,,
34,Delhi Private School Dubai,Indian / CBSE,,,
35,GEMS Dubai American Academy,American / IB,,,
36,Dubai Arab American Private School,American,,,
37,Dubai British School,UK / British,,,
38,Dubai Carmel School,UK / British,,,
39,Dubai College,UK / British,,,
40,Dubai English Speaking College,UK / British,,,
41,Dubai English Speaking School,UK / British,,,
42,Dubai Gem Private School,UK / British,,,
43,Dubai International Academy,IB,,,
44,Dubai International School - Al Garhoud,American,,,
45,Dubai International School - Al Quoz,American,,,
46,Dubai Modern Education School,American / UAE MoE,,,
47,GEMS Modern Academy,Indian / Indian-IB,,,
48,Dubai National School - Al Barsha,American,,,
49,Dubai National School - Al Twar,American,,,
50,Dubai Police Kindergarten - Deira,UAE MoE / Arabic,,,
51,Dubai Scholars Private School,UK / British,,,
52,Dubai Women's College High School,UAE MoE / Technical,,,
53,Emirates English Speaking School,UK / British,,,
54,Emirates International School - Jumeirah,IB,,,
55,Emirates International School - Meadows,IB,,,
56,English Language Private School,UK / British,,,
57,GEMS Jumeira Primary School,UK / British,,,
58,GEMS Royal Dubai School,UK / British,,,
59,GEMS Wellington Academy - DSO,UK / IB,,,
60,GEMS Wellington International School,UK / IB / IB DP,,,
61,GEMS Wellington Primary School,UK / British,,,
62,GEMS Winchester School,UK / British,,,
63,GEMS World Academy,IB,,,
64,German International School Dubai,German,,,
65,Ambassador School,Indian / CBSE,,,
66,Grammar School,UK / British,,,
67,Greenfield Community School,IB,,,
68,Greenwood International School,American,,,
69,Gulf Indian High School,Indian / CBSE,,,
70,Gulf Model School,Indian / CBSE,,,
71,His Highness Shaikh Rashid Al Maktoum Pakistani School,Pakistani,,,
72,Horizon English School,UK / British,,,
73,Institute of Applied Technology,UAE MoE / Technical,,,
74,International Academic School,American,,,
75,International School of Arts and Sciences,American,,,
76,Islamic School for Education and Training,UAE MoE / Arabic,,,
77,Japanese School in Dubai,Japanese,,,
78,Jebel Ali Primary School,UK / British,,,
79,JSS International School,Indian / CBSE,,,
80,JSS Private School,Indian / CBSE,,,
81,Jumeira Baccalaureate School,IB,,,
82,Jumeirah College,UK / British,,,
83,Jumeirah English Speaking School,UK / British,,,
84,Jumeirah English Speaking School - Arabian Ranches,UK / British,,,
85,K12 International Academy,American,,,
86,Khadija Al Kobra Iranian School for Girls,Iranian,,,
87,Kings' Dubai,UK / British,,,
88,Latifa School for Girls,UAE MoE / Arabic,,,
89,Little Flowers English School,Indian / CBSE,,,
90,Lycee Francais International School,French,,,
91,Lycee Georges Pompidou High School,French,,,
92,Lycee Georges Pompidou Primary School,French,,,
93,Lycee Libanais Francophone Prive,French,,,
94,Mirdif Private School,American / UAE MoE,,,
95,National Charity School,UAE MoE,,,
96,New Academy School,American,,,
97,New Indian Model School,Indian / CBSE,,,
98,New World Private School,IB / UAE MoE historical,,,
99,Nibras International School,American,,,
100,North American International School,American,,,
101,GEMS Our Own English High School,Indian / CBSE,,,
102,Our Own High School - Dubai,Indian / CBSE,,,
103,GEMS Our Own Indian School,Indian / CBSE,,,
104,Pakistan Education Academy,Pakistani,,,
105,Philadelphia Private School,American / IB,,,
106,Pristine Private School,UK / British,,,
107,Queen International School,UK / British,,,
108,Raffles International School - South Campus,UK / British,,,
109,Raffles World Academy,IB / International,,,
110,Rajagiri International School,Indian / CBSE,,,
111,Rashid School for Boys,UK / British / IB,,,
112,Regent International School,UK / British,,,
113,Repton School Dubai,UK / IB,,,
114,Russian International School,Russian,,,
115,Salman Al Farsi Iranian School,Iranian,,,
116,School of Modern Skills,American,,,
117,Sharjah American International School,American,,,
118,St. Mary's Catholic High School,UK / British,,,
119,Star International School - Al Twar,UK / British,,,
120,Star International School - Mirdif,UK / British,,,
121,Horizon International Schoool,UK / British,,,
122,The Central School,Indian / CBSE,,,
123,The Children's Garden,International / Early Years,,,
124,The City School International,British / International,,,
125,The Elite English School,Indian / CBSE,,,
126,The English College - Dubai,UK / British,,,#NAME?
127,The Indian Academy,Indian / CBSE,,,
128,The Indian High School,Indian / CBSE,,,
129,The Indian High School - Branch,Indian / CBSE,,,
130,The Indian International School,Indian / CBSE,,,
131,The International School of Choueifat - DIP,SABIS,,,
132,The International School of Choueifat - Dubai,SABIS,,,
133,The Kindergarten Starters,UK / British,,,
134,The Millennium School,Indian / CBSE,,,
135,The Oxford School,UK / British,,,
136,The Philippine School,Philippine,,,
137,Sheikh Rashid Bin Saeed Islamic Institute,UAE MoE / Arabic,,,
138,The School of Research Science,UK / British,,,
139,The Sheffield Private School,UK / British,,,
140,The Westminster School,UK / British,,,
141,The Winchester School,UK / British,,,
142,Towheed Iranian School for Boys,Iranian,,,
143,Towheed Iranian School for Girls,Iranian,,,
144,United International Private School,Philippine,,,
145,Universal American School,American,,,
146,Uptown School,IB,,,
147,Delhi Private School Academy,Indian / CBSE,,,
148,GEMS New Millennium School,Indian / UK,,,
149,Sabari Indian School,Indian / CBSE,,,
150,Springdales School,Indian / CBSE,,,
151,Victory Heights Primary School,UK / British,,,
152,Foremarke School,UK / British,,,
153,International Concept for Education,UK / British,,,
154,GEMS Wellington Academy - Al Khail,UK / IB,,,
155,Oasis School,UK / British (historical),,,
156,GEMS International School - Al Khail,IB,,,
157,Credence High School,Indian / CBSE,,,
158,Bilva Indian School,Indian / CBSE,,,
159,GEMS FirstPoint School,UK / British,,,
160,Kings Nad Al Sheba,UK / British,,,
161,Ontario International Canadian School,Canadian,,,
162,Nord Anglia International School Dubai,UK / IB,,,
163,Kings' Al Barsha,UK / British,,,
164,GEMS Metropole School,UK / British,,,
165,Safa Community School,UK / British,,,
166,Dovecote Green Primary,UK / British,,,
167,Capital School,UK / British,,,
168,Amled School,Indian / CBSE,,,
169,Swiss International Scientific School,IB,,,
170,Hartland International School,UK / IB,,,
171,St Mary High Catholic School - Branch,UK / British,,,
172,Dubai British School - Jumeirah Park,UK / British,,,
173,Ranches Primary School,UK / British,,,
