No.,School Name,Curriculum
1,AL Ahliah Charity Pvt. School,MoE
2,AL Ahliah Charity Pvt. School - Branch 2,MoE
3,AL AHLIAH CHARITY PVT. SCHOOL - FALAJ BRANCH,MoE
4,Al Ahliah Charity Pvt. School For Boys – BR4,MoE
5,Al Ahliah Charity Pvt. School For Girls – BR3,MoE
6,Al Ahliah Pvt. Schools LLC.,MoE
7,Al Ahliah Pvt. Schools LLC.BR1,MoE
8,Al Amaal English High School (PVT),Pakistani
9,Al Amal School For The Deaf,MoE
10,Al Amana Private School,British
11,Al Ansar int.pvt.School,British
12,AL ANSAR NATIONAL PVT SCHOOL,MoE
13,Al Basaier Pvt. School,MoE
14,Al Bayan National School,MoE
15,Al Bayan Pvt.School,MoE
16,Al Choueifat Int. School,SABIS
17,Al Dhaid Pvt. School,MoE
18,AL DHIA AL SCIENTIFIC PRIVATE SCHOOL LLC,MoE
19,AL DURRAH INTERNATIONAL SCHOOL LLC,American
20,Al Falah Private School,MoE
21,Al Istiqlal Private School L.L.C,MoE
22,Al Itqan American School Pvt,American
23,Al Kamal American Private INT School - BR1,American
24,Al Kamal American Private NT School,American
25,Al kamal American Private NT School - Branch 2,American
26,Al Marifa Int. Private School (American),American
27,Al Mawahib British Pvt. School,British
28,Al Murooj (Pvt) Eng. Kindergarten & School,British
29,Al Mustaqbal Pvt. School,American
30,AL Najma Private School.LLC.,British
31,Al Noor Int. School L.L.C,MoE
32,Al Qemah Private School,MoE
33,Al Resalah American International School LLC,American
34,Al Resalah International private School of Science LLC,American
35,Al Rowad British private school,British
36,Al Rushed American Private School,American
37,Al Sabah Indian Pvt. School,Indian
38,AL SALEH PRIVATE SCHOOL FOR GIRLS,MoE
39,Al Shola Pvt. School LLC,MoE
40,Al Shola Pvt.School LLC.BR1,MoE
41,AL TAFAWQ PRIVATE SCHOOL,MoE
42,AL ULLA PRIVATE SCHOOL LLC.,MoE
43,Al Wahda (P.V.T) School LLC,American
44,Al Zehour Private School LLC,American
45,Alsedra Private School,MoE
46,Ambassador School LLC,Indian
47,American Gulf School L.L.C,American
48,American Private School of Kalba,American
49,American School of Creative Science Pvt Per Person Company. LLC,American
50,American School of Creative Scince Pvt - Branch 1,American
51,Amity Pvt. School LLC,Indian
52,APEX VISION MODEL SCHOOL L.L.C,Indian
53,Aspam Indian Int. Pvt. School. LLC,Indian
54,Australian International Pvt. School,Australian
55,Beaconhouse Al Khaleej International School LLC,American
56,Bhavans Pearl Wisdom School L.L.C,Indian
57,Bin Khaldun Pvt. School,MoE
58,Brilliant Int. Private School,British
59,Darb Al Saada Private School,MoE
60,Delhi Pvt.School LLC.,Indian
61,East Coast Eng school,Indian
62,ELITE SCHOOL.LLC,American
63,Emirates American School,American
64,Emirates National School,Indian
65,Emirates National Schools,American
66,EMIRATES PRIVATE SCHOOL L.L.C,MoE
67,ENGLISH PRIVATE SCHOOL OF KALBA,British
68,Far Eastern Pvt. School - Branch 1,Pilipinas
69,Far Eastern Pvt.School,Pilipinas
70,French International Private School - SHJ,French
71,FUTURE GATE INDIAN PRIVATE SCHOOL L.L.C,Indian
72,Gems Cambridge International Private School Sharjah,British
73,Gems Millennium Private School,Indian
74,Gems Westminster School Sharjah LLC,British
75,German INT. School Sharjah,German
76,Gulf Asian English Schools LLC,Indian
77,Happy Home Eng. School L.L.C,British
78,Ibn Seena English High School L.L.C.,British
79,IMPACT AMERICAN INTERNATIONAL SCHOOL,American
80,INDEX Private School L.L.C S.P,Indian
81,India International School LLC,Indian
82,Indian Excellent Pvt. School,Indian
83,International School of Creative Science Pvt,British
84,Khalifah Al Hamza American Private School - L - L.L.C - S.P,American
85,Leaders Private School,Indian
86,Manarat Al Sharjah Private School. LLC,MoE
87,Manthena American School L.L.C,American
88,Masar Private School L.L.C,American
89,New Indian Model School,Indian
90,Nibras Al Iman Pvt. School LLC,American
91,Our Own English High School - B1,Indian
92,Our Own English High School,Indian
93,Pace British School L.L.C,British
94,Pace International School LLC,Indian
95,Pakistan Islamia Higher Secondary School -SHJ.LLC,Pakistani
96,Pamir Private School L.L.C S.P,Pakistani
97,Private School of Scientific Innovation,American
98,Progressive Eng. School LLC,Indian
99,Providence English Private School,British
100,Radiant Indian School for Girls & Boys,Indian
101,RAFFLES INTERNATIONAL SCHOOL L L C - SHJ. BR 1,IB / International Baccalaureate
102,Rosary private School L.L.C. - BR1,British
103,Rosary School LLC,British
104,RUSHMORE AMERICAN SCHOOL L.L.C,American
105,Ryan Intl. Priv. School,Indian
106,Sabis International Private School LLC- Aljada,SABIS
107,Salman al farsi school,MoE
108,Sama American Private School,American
109,Shj. British Int .Pvt. School (American),American
110,SHJ. INT. PVT. SCHOOL (British),British
111,SHJ. INT. PVT. SCHOOL (MoE),MoE
112,SHJ.PVT.SCHOOL.,MoE
113,Spring dale Indian School LLC,Indian
114,Sunaa Al ghad School L.L.C,MoE
115,Taryam American Private School,American
116,The City School International PVT L.L.C,British
117,THE HOPE ENGLISH SCHOOL L.L.C-S.P,British
118,The Modern American Int. Pvt. School L.L.C,American
119,The New Filipino Pvt School LLC,Pilipinas
120,Victoria English Pvt. School LLC,British
121,Victoria Int. shj . School,Australian
122,VICTORIA INT. SHJ . SCHOOL PROPRITORSHIP L.L.C - BR3 ( KHURFKAN),Australian
123,VICTORIA INT. SHJ . SCHOOL PROPRITORSHIP L.L.C (KALBA),Australian
124,Victoria INT. SHJ. School Propritorship L.L.C Branch4 (Tilal Primary),Australian
125,Victoria INT.SHJ.School - Almanthiqa Alwastha,Australian
126,Wes green Int. Pvt. School. LLC,British
